source,target,type,weight
Congo Rapids   Ltd. Corporation,Matthew Wheeler,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Catherine Anderson,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Joseph Obrien,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Monique Yoder,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Jennifer Fleming,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Debra Cline,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Julie Stewart,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Jon Hawkins,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Arthur Thompson,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Jeremy Lee,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Alison Page,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Jay Mitchell,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Heather Miller,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Brittney Crawford,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Amanda Saunders,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Brittney Bond,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Natasha Davis,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Victoria Chavez,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Timothy Abbott,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Kimberly Oconnor,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Cassie Robinson,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Robert Stewart,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Donna Watson,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,William Fisher,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Steve Horton,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Ashley Lyons,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Shannon Ayala,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Stephanie Barnes,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Jason Sutton,Beneficial Owner,1
Congo Rapids   Ltd. Corporation,Sandra Mitchell,Company Contacts,1
The Salty Pearl GmbH,Terry Mcdowell,Company Contacts,3
Haikou Ferry Co Marine,Brian Martin,Company Contacts,1
Neva  S.A. de C.V. Shipping,Kyle Garcia,Beneficial Owner,2
Yu gan  AS Whale,Kyle Garcia,Beneficial Owner,3
Neva  S.A. de C.V. Shipping,Richard Sharp,Company Contacts,2
Yu gan  AS Whale,Richard Sharp,Company Contacts,3
Mar de Plata Ltd. Liability Co,James Rodriguez,Beneficial Owner,1
Mar de Plata Ltd. Liability Co,Abigail Oconnell,Beneficial Owner,1
Mar de Plata Ltd. Liability Co,Maria Jones,Beneficial Owner,1
Mar de Plata Ltd. Liability Co,Kimberly Hall,Beneficial Owner,1
Mar de Plata Ltd. Liability Co,Barry Cox,Company Contacts,1
Martinez-Adams,Dylan Franklin,Company Contacts,1
Viento Azul Incorporated Forwading,Julie Navarro,Company Contacts,1
Corp S.A. de C.V.,Julie Navarro,Company Contacts,1
Kong zhong diao yu  Kga,Rebecca Robinson,Beneficial Owner,2
Kong zhong diao yu  Kga,Erica Ortiz,Beneficial Owner,2
Kong zhong diao yu  Kga,Lynn Aguirre,Company Contacts,2
Olas del Sur AS Industrial,Kristen Burgess,Beneficial Owner,1
Olas del Sur AS Industrial,Anna Castaneda,Company Contacts,1
Ob River Surfboard AG Marine conservation,Christopher Williams,Company Contacts,1
"Riley, Richardson and Powell",Gary Fowler,Beneficial Owner,1
Fields-Chapman,Zachary Blanchard MD,Beneficial Owner,1
Garcia Group,Lauren Jones,Company Contacts,1
9 Shark S.A. de C.V. Brothers,Ian Benton,Beneficial Owner,1
9 Shark S.A. de C.V. Brothers,Michael Thompson,Beneficial Owner,1
9 Shark S.A. de C.V. Brothers,Spencer Castaneda,Company Contacts,1
Chen-Austin,Christopher Park,Company Contacts,1
Solutions Ltd. Liability Co,Dawn Wagner,Beneficial Owner,1
Solutions Ltd. Liability Co,Jay Cook,Beneficial Owner,1
Solutions Ltd. Liability Co,Christopher Huffman,Company Contacts,1
Náutica del Norte Ltd,Monica Mata,Company Contacts,1
Icelandic Cat Company Freight,Randall Watson,Company Contacts,1
Wells-Russell,Philip Miller,Beneficial Owner,1
Simon-Clark,Bridget Williams,Beneficial Owner,1
Lowe LLC,Christine Wright,Beneficial Owner,1
"Maynard, Schmitt and Perez",Kelly Bell,Beneficial Owner,1
"Sanders, Thompson and Carr",Nicholas Jimenez,Beneficial Owner,1
Nolan PLC,Elizabeth Thomas,Beneficial Owner,1
Rose-Burton,Michael Hall,Beneficial Owner,1
Johnson-Williams,Tyler Jones,Beneficial Owner,1
Miller PLC,Lonnie Ray,Beneficial Owner,1
"Andrews, Rodriguez and Potts",Brooke Barnes,Beneficial Owner,1
Green-Bailey,Susan Cordova,Beneficial Owner,1
Martin Ltd,Leah Taylor,Beneficial Owner,1
Wallace-Wilkerson,Todd Murphy,Beneficial Owner,1
Jordan Group,Mandy Mayer,Beneficial Owner,1
Abbott-Norman,Christopher Ramos,Beneficial Owner,1
Pruitt-Russell,Robert Hall,Beneficial Owner,1
"Hughes, Reynolds and Hansen",Zachary Lewis,Beneficial Owner,1
Moyer-Williams,George Turner,Beneficial Owner,1
Wood-Ford,Patricia Shannon,Beneficial Owner,1
"Williamson, Johnson and Walker",Victor Soto,Beneficial Owner,1
Horton-Hill,Becky Branch,Beneficial Owner,1
Bennett-Smith,Eric Johnson,Beneficial Owner,1
"Lewis, Young and Miller",Lisa Moore,Company Contacts,1
Náutica del Este Ltd. Corporation,Cole Lawrence,Company Contacts,1
Selous Game Reserve  S.A. de C.V.,Stephanie Johnson,Beneficial Owner,1
Selous Game Reserve  S.A. de C.V.,Javier Chandler,Company Contacts,1
suō yú Line Manatee,Mercedes Lewis,Beneficial Owner,1
suō yú Line Manatee,Jennifer Washington,Beneficial Owner,1
suō yú Line Manatee,Bradley Kirby,Beneficial Owner,1
suō yú Line Manatee,Cheryl Shaw,Beneficial Owner,1
suō yú Line Manatee,Bruce Lane,Beneficial Owner,1
suō yú Line Manatee,Hailey Smith DDS,Beneficial Owner,1
suō yú Line Manatee,Jared Barron,Beneficial Owner,1
suō yú Line Manatee,Jeremiah Walsh,Company Contacts,1
SeaFusion Barge LC Enterprises,Carlos Hinton,Company Contacts,1
Seafarer's Club Plc and Son's,Adam Jones DVM,Company Contacts,1
Rivera Inc,Joshua Davis,Company Contacts,1
Mbowo ship SE Forwading,Jill Dunn,Beneficial Owner,1
Mbowo ship SE Forwading,Mary Singleton,Beneficial Owner,1
Mbowo ship SE Forwading,Jacqueline Barker,Beneficial Owner,1
Mbowo ship SE Forwading,Jeffrey Dalton,Beneficial Owner,1
Mbowo ship SE Forwading,Cassandra Herman,Company Contacts,1
Shaw Ltd,Roger Klein,Company Contacts,1
Náutica del Sol Sagl Solutions,Heather Hull,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Steve Vasquez,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Anthony Martinez,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Darlene Gilmore,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Rebecca Lester,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Holly Martin,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Albert Collins,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Melissa Fields,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Timothy Livingston,Beneficial Owner,1
Náutica del Sol Sagl Solutions,James Murphy,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Sarah Hayes,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Jenny Yang,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Jamie Smith,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Timothy Brown,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Jared Whitehead,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Virginia Wade,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Bryan Watts DDS,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Darren Clements,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Anthony Aguilar,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Jessica Taylor,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Gary Kent,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Julie Ramos,Beneficial Owner,1
Náutica del Sol Sagl Solutions,Jennifer Harris,Company Contacts,1
Jammu & Kashmir Sea  Dashi,Mikayla Ward,Beneficial Owner,1
Jammu & Kashmir Sea  Dashi,Eric Santana,Company Contacts,1
Surf and Sea Ltd. Liability Co Logistics,Steven White,Company Contacts,1
Mar y Luna GmbH,Stephanie Rogers,Beneficial Owner,1
Mar y Luna GmbH,Monica Hall,Beneficial Owner,1
Mar y Luna GmbH,Laurie Fletcher,Beneficial Owner,1
Mar y Luna GmbH,Kimberly Barrett,Company Contacts,1
Matthew Oyj Marine sanctuary,Crystal Smith,Beneficial Owner,1
Matthew Oyj Marine sanctuary,Caitlin Daniels,Company Contacts,1
qīng yú GmbH & Co. KG,Robert Holland,Company Contacts,1
Schneider and Sons,James Barnett,Beneficial Owner,1
"Rodgers, Steele and Jensen",Tammy Ramos,Company Contacts,1
Greek ermen SE Solutions,Laura Johnson,Beneficial Owner,1
Greek ermen SE Solutions,Emma Miller,Company Contacts,1
"Pena, Patterson and Carroll",Edward Clark,Beneficial Owner,1
"Thomas, Matthews and Dean",Christopher Sanders,Company Contacts,1
Yenisei  Eel GmbH & Co. KG Services,Randy Todd,Beneficial Owner,1
Yenisei  Eel GmbH & Co. KG Services,Matthew Soto,Beneficial Owner,1
Yenisei  Eel GmbH & Co. KG Services,Samuel Palmer,Company Contacts,1
Clark-Sandoval,Shawn Collins,Beneficial Owner,1
Newton-Taylor,Ruben Meyer,Company Contacts,1
Gonzalez and Sons,Tammy Phillips,Beneficial Owner,1
Norris Inc,Tracy Booker,Company Contacts,1
Halie Seafoam N.V. Transit,Johnny Obrien,Beneficial Owner,2
Halie Seafoam N.V. Transit,Ashley Ward,Company Contacts,2
Vleikurper S.A. de C.V.,Justin Marshall,Company Contacts,1
Coral del Cielo Plc,John Glenn,Company Contacts,1
Hohhot Limited Liability Company,John Glenn,Company Contacts,2
Italian  A/S & Son's,John Glenn,Company Contacts,1
Thomas-Reeves,Shelly Dunn,Beneficial Owner,1
Gomez-Brown,Donald Mathews,Beneficial Owner,1
Newton-Smith,Sherri Contreras,Beneficial Owner,1
Olson Inc,Kenneth Gilmore,Beneficial Owner,1
Johnson Inc,Allison Carter,Beneficial Owner,1
Parsons-Johnson,Krista Coleman,Beneficial Owner,1
"Salazar, Walker and Bates",Anthony Brewer,Beneficial Owner,1
Ramos LLC,William Brooks,Beneficial Owner,1
"Evans, Robertson and Faulkner",Jesse Schultz,Beneficial Owner,1
Duke PLC,Johnny Tucker,Beneficial Owner,1
"Hoffman, Gregory and Hoover",Christy Moreno,Beneficial Owner,1
Evans LLC,Sally Curtis,Beneficial Owner,1
Smith-Carr,Jerry Edwards,Beneficial Owner,1
"Jones, Burke and Barber",Lori Garcia,Beneficial Owner,1
Simpson-Ramos,Karen Riggs,Beneficial Owner,1
Murphy-Stephens,Benjamin Ramirez,Beneficial Owner,1
Lynn and Sons,Michael Roach,Beneficial Owner,1
Porter and Sons,Gloria Richardson,Beneficial Owner,1
Williams-Mills,Allison Peterson,Beneficial Owner,1
"Hartman, Allen and Sharp",Rebecca Miller,Beneficial Owner,1
"Roberts, Martinez and Rodriguez",Ronald Cherry,Beneficial Owner,1
Long-Ellis,John Jones,Beneficial Owner,1
"Mercado, Berg and Thomas",Jared Esparza,Company Contacts,1
Southeast Ltd. Liability Co,Richard Morgan,Beneficial Owner,1
Southeast Ltd. Liability Co,Jeremy Munoz,Company Contacts,1
Jammu & Kashmir  Ges.m.b.H. Solutions,Daniel Macias,Company Contacts,1
Schaefer Group,Michael Chen,Beneficial Owner,1
"Scott, Kelley and Reyes",Christopher Keller,Beneficial Owner,1
"Smith, Rodriguez and Cruz",James Walker,Beneficial Owner,1
Jackson-Mcclure,James Miller,Beneficial Owner,1
"Johnson, Gilmore and Hall",Dr. Cody Perry DVM,Beneficial Owner,1
Kim Inc,Edward Walker,Beneficial Owner,1
Boyle-Nunez,Richard Lawson,Beneficial Owner,1
Owens Inc,Kenneth Garza,Beneficial Owner,1
Love-Guerrero,Joseph Glass,Beneficial Owner,1
"Cruz, Martinez and Rich",Mr. Ronald Reynolds,Beneficial Owner,1
Gomez-Watson,Adrian Becker,Beneficial Owner,1
Smith LLC,Michelle Tucker PhD,Beneficial Owner,1
"Long, Acosta and Carpenter",Jacob Valdez,Company Contacts,1
Aguamarina S.A. de C.V.,Deborah Phillips,Beneficial Owner,1
Aguamarina S.A. de C.V.,Steven Montes,Beneficial Owner,1
Aguamarina S.A. de C.V.,Virginia Cuevas,Beneficial Owner,1
Aguamarina S.A. de C.V.,Jenna Mendoza,Beneficial Owner,1
Aguamarina S.A. de C.V.,Kristine Berg,Beneficial Owner,1
Aguamarina S.A. de C.V.,Marcus Allen,Beneficial Owner,1
Aguamarina S.A. de C.V.,Austin Rodriguez,Beneficial Owner,1
Aguamarina S.A. de C.V.,Amy Burns,Beneficial Owner,1
Aguamarina S.A. de C.V.,James Wright,Beneficial Owner,1
Aguamarina S.A. de C.V.,Monique Griffin,Beneficial Owner,1
Aguamarina S.A. de C.V.,Gregory Porter,Beneficial Owner,1
Aguamarina S.A. de C.V.,Sean Davies,Beneficial Owner,1
Aguamarina S.A. de C.V.,Christopher Gentry,Beneficial Owner,1
Aguamarina S.A. de C.V.,Dr. Joseph Gomez DVM,Beneficial Owner,1
Aguamarina S.A. de C.V.,Joseph Kennedy,Beneficial Owner,1
Aguamarina S.A. de C.V.,Nathan Pitts,Beneficial Owner,1
Aguamarina S.A. de C.V.,Keith Martin,Beneficial Owner,1
Aguamarina S.A. de C.V.,Brandi Proctor,Beneficial Owner,1
Aguamarina S.A. de C.V.,Jennifer Lopez,Beneficial Owner,1
Aguamarina S.A. de C.V.,Joshua Chan,Beneficial Owner,1
Aguamarina S.A. de C.V.,Mary Jackson,Beneficial Owner,1
Aguamarina S.A. de C.V.,Abigail Cross,Beneficial Owner,1
Aguamarina S.A. de C.V.,Jamie Schultz,Company Contacts,1
Mclean LLC,Robin Norris,Beneficial Owner,1
"Marsh, Medina and Walker",Rebecca Glass,Beneficial Owner,1
"Quinn, Cruz and Medina",Lisa Wilson,Beneficial Owner,1
Mills and Sons,Toni Allen,Beneficial Owner,1
"Gordon, Turner and Dudley",Austin Hale,Beneficial Owner,1
Estes LLC,Shawn Shannon,Company Contacts,1
Tiao piao  Ltd. Corporation,Sherry Bautista,Company Contacts,2
Martin-Gonzales,Shannon Harris,Company Contacts,1
Salazar-Jacobs,Shannon Rosales,Beneficial Owner,1
Rowland-Rose,Rachel Jones,Beneficial Owner,1
"Graham, Roberts and Cummings",Stephanie Howard,Beneficial Owner,1
"Wheeler, Weaver and Brown",Christina Wilcox,Beneficial Owner,1
Kemp-Walker,Paul Miller,Beneficial Owner,1
Nunez Group,Barbara Anderson,Beneficial Owner,1
"Holt, Wiley and Lopez",Vanessa Schneider,Beneficial Owner,1
Bailey-Lewis,Aaron Allen,Beneficial Owner,1
"Mahoney, Thomas and Ellis",Shannon Johnson,Company Contacts,1
Surf and Sand Company Family,Rachel Meyer,Company Contacts,1
Henties Bay  A/S Logistics,Anthony Hull,Company Contacts,1
Lake Manyara   SE Line,Michael Roberts,Company Contacts,1
Yu lou  ОАО Worldwide,Tara Johnson,Beneficial Owner,1
Yu lou  ОАО Worldwide,Nichole Martinez,Beneficial Owner,1
Yu lou  ОАО Worldwide,Anita Lyons,Beneficial Owner,1
Yu lou  ОАО Worldwide,Terri Williams,Beneficial Owner,1
Yu lou  ОАО Worldwide,William Mckinney,Beneficial Owner,1
Yu lou  ОАО Worldwide,Amy Johnson,Beneficial Owner,1
Yu lou  ОАО Worldwide,Cynthia Brooks,Beneficial Owner,1
Yu lou  ОАО Worldwide,Anna Hebert,Company Contacts,1
Kafue River  Limited Liability Company Salmon,Roger Stokes,Beneficial Owner,1
Kafue River  Limited Liability Company Salmon,Keith Hanson,Company Contacts,1
La gan  OJSC Solutions,Christopher Wright,Beneficial Owner,1
La gan  OJSC Solutions,Timothy Horton,Beneficial Owner,1
La gan  OJSC Solutions,Stephanie Brown,Beneficial Owner,1
La gan  OJSC Solutions,Brian Meza,Beneficial Owner,1
La gan  OJSC Solutions,Amanda Gonzalez DDS,Beneficial Owner,1
La gan  OJSC Solutions,Joyce Torres,Company Contacts,1
Telangana  S.A. de C.V.,Elizabeth Anderson,Beneficial Owner,1
Telangana  S.A. de C.V.,Christopher Burke,Beneficial Owner,1
Telangana  S.A. de C.V.,Wanda Gray,Beneficial Owner,1
Telangana  S.A. de C.V.,Janet Haley,Beneficial Owner,1
Telangana  S.A. de C.V.,John Jensen,Company Contacts,1
"Rodriguez, Bridges and Simon",Mr. Michael Rivera,Company Contacts,1
Rufiji Delta  ОАО Shoal,Natalie Mckay,Company Contacts,1
Olas del Mar Solutions,Gabriel Harris,Beneficial Owner,1
Olas del Mar Solutions,Austin Dillon,Beneficial Owner,1
Olas del Mar Solutions,Anthony Jackson,Beneficial Owner,1
Olas del Mar Solutions,Jonathan Dunn,Beneficial Owner,1
Olas del Mar Solutions,Melissa Castillo,Beneficial Owner,1
Olas del Mar Solutions,Melanie Gallegos,Beneficial Owner,1
Olas del Mar Solutions,Jordan Lane,Beneficial Owner,1
Olas del Mar Solutions,Matthew Jimenez,Beneficial Owner,1
Olas del Mar Solutions,Rebecca Jones,Beneficial Owner,1
Olas del Mar Solutions,Debra Rogers,Beneficial Owner,1
Olas del Mar Solutions,Vincent Chambers,Beneficial Owner,1
Olas del Mar Solutions,Stephanie Gonzalez,Beneficial Owner,1
Olas del Mar Solutions,Christopher Stark,Beneficial Owner,1
Olas del Mar Solutions,Shawn Sanchez,Beneficial Owner,1
Olas del Mar Solutions,Karen Ross,Beneficial Owner,1
Olas del Mar Solutions,James Cruz,Beneficial Owner,1
Olas del Mar Solutions,Catherine Dean,Beneficial Owner,1
Olas del Mar Solutions,Andrea Castro,Beneficial Owner,1
Olas del Mar Solutions,Ebony Mora,Beneficial Owner,1
Olas del Mar Solutions,James Orozco,Beneficial Owner,1
Olas del Mar Solutions,James Rose,Beneficial Owner,1
Olas del Mar Solutions,Brandi Gonzalez,Beneficial Owner,1
Olas del Mar Solutions,Christopher Porter,Company Contacts,1
Benton ship Co Carriers,Tiffany Santiago,Company Contacts,1
Niger River Delta  S.p.A.,Shawn Myers,Company Contacts,21
Ola del Este LC,Shawn Myers,Company Contacts,1
Balkan Pike LC Line,Diane Martin,Beneficial Owner,1
Balkan Pike LC Line,Laura Ray,Beneficial Owner,1
Balkan Pike LC Line,Mary Gilbert,Beneficial Owner,1
Balkan Pike LC Line,Karen Powell,Company Contacts,1
Transit Limited Liability Company,Daniel Lynch,Beneficial Owner,1
Transit Limited Liability Company,Katrina Pennington,Beneficial Owner,1
Transit Limited Liability Company,Jessica Mcneil,Beneficial Owner,1
Transit Limited Liability Company,Sharon Cohen,Beneficial Owner,1
Transit Limited Liability Company,Teresa Mills,Company Contacts,1
"Bates, Martinez and Torres",Amanda Nelson,Beneficial Owner,1
Perez-Roberts,Brooke Fritz,Company Contacts,1
Bates-Jones,Jacob Moss,Company Contacts,1
Seaside Summit Tidal Incorporated Line,Robert Phillips,Beneficial Owner,2
Seaside Summit Tidal Incorporated Line,Ricardo Thomas,Beneficial Owner,2
Seaside Summit Tidal Incorporated Line,Jonathan Williams,Beneficial Owner,2
Seaside Summit Tidal Incorporated Line,Nicholas Lang,Company Contacts,2
Chambers-White,Brandon Nielsen,Company Contacts,1
North Ltd. Liability Co Logistics,Miranda Bautista,Company Contacts,1
Hawkins-Aguirre,Colin Mays,Beneficial Owner,1
Caldwell-Shepherd,Whitney Lane,Beneficial Owner,1
"Rodriguez, Martinez and Wallace",Jack Park,Beneficial Owner,1
"Roberts, Carter and Jones",Steven Romero,Beneficial Owner,1
Kirk and Sons,Katherine Young,Beneficial Owner,1
Jensen-Davis,Stephanie Smith,Beneficial Owner,1
Morris-Garza,David Wu,Beneficial Owner,1
"Douglas, Blair and Miller",Cynthia Hernandez,Beneficial Owner,1
Murphy Group,Kayla Little,Beneficial Owner,1
"Bauer, Miller and Copeland",Wendy Spears,Beneficial Owner,1
"Curry, Smith and Short",Tiffany Reese,Beneficial Owner,1
Stewart-White,Angela Nunez,Beneficial Owner,1
Howard Inc,Dawn Johnson,Beneficial Owner,1
Oliver-Gray,Jennifer Wilson,Beneficial Owner,1
"Brewer, Krueger and Bailey",Sean Patel,Beneficial Owner,1
Allen-Carlson,Richard Diaz,Beneficial Owner,1
"Russell, Long and Reed",Susan Adkins,Beneficial Owner,1
Young Inc,Lisa Gregory,Beneficial Owner,1
Young LLC,Emily Bridges,Beneficial Owner,1
Collins-Riley,Bradley Warren,Beneficial Owner,1
"Miller, Gibson and Keith",Kimberly Lewis,Beneficial Owner,1
Potter Group,David Mclaughlin,Beneficial Owner,1
"Mathews, Turner and Perez",Amanda Crawford,Company Contacts,1
Carr-Jackson,Jason Barnett,Company Contacts,1
Kariba Dam   CJSC Marine sanctuary,Christopher Jones,Beneficial Owner,1
Kariba Dam   CJSC Marine sanctuary,Marissa Summers,Beneficial Owner,1
Kariba Dam   CJSC Marine sanctuary,Dominique Cameron,Company Contacts,1
"Fry, Buchanan and Ward",Donna Stephens,Beneficial Owner,1
Davis Ltd,Amy Cantu,Beneficial Owner,1
"Brown, Frederick and Ramirez",Andrew Henry,Beneficial Owner,1
Smith-Harrell,Justin Barr,Beneficial Owner,1
Fitzgerald-Martin,Laura Stein,Beneficial Owner,1
"Baker, Garcia and Acevedo",John Gonzalez,Beneficial Owner,1
"Garcia, Burton and Norman",Amanda Mills,Company Contacts,1
Baltic Sprat Incorporated Investment,Jose Ramirez,Company Contacts,15
Water World Limited Liability Company Freight,Jose Ramirez,Company Contacts,2
Pruitt Group,Michael Hunter,Company Contacts,1
Faroe Islands Halibut Logistics,Robert Moran,Company Contacts,1
The Salty Dog Distribution,Seth Wells,Company Contacts,2
Diao yu bi sai  Inc,Seth Wells,Company Contacts,1
Gray-Wade,Douglas Lopez,Beneficial Owner,1
Reyes and Sons,Katherine Solis,Beneficial Owner,1
"Trevino, Owens and Moore",Andrew Hensley,Beneficial Owner,1
"Foster, Caldwell and Carlson",Charles Hood,Beneficial Owner,1
"Davis, Greene and Hudson",Abigail Callahan,Beneficial Owner,1
Escobar and Sons,Mark Johnson,Company Contacts,1
French Sardine Trawler Co Import,Steven Riggs,Company Contacts,1
Kilimanjaro fishery Limited Liability Company,David Hernandez,Company Contacts,1
Mar y Luna Hull,Richard Fernandez,Beneficial Owner,1
Mar y Luna Hull,Suzanne Long,Beneficial Owner,1
Mar y Luna Hull,Debra Green,Company Contacts,1
Garza PLC,Danielle Campbell,Beneficial Owner,1
Sloan-Daniel,Brendan Wade,Beneficial Owner,1
"Garcia, Lewis and Hoffman",Lauren Krause,Beneficial Owner,1
"Jones, Kelley and Welch",Elizabeth Miller,Beneficial Owner,1
Reeves and Sons,Brian Lloyd,Company Contacts,1
Portuguese Octopus Ltd. Corporation Solutions,Kristina Snyder,Company Contacts,1
Diaz-Pham,Dustin Nguyen,Company Contacts,1
Portuguese Tuna GmbH & Co. KG Marine ecology,Jordan Jackson,Company Contacts,2
Saltwater Sisters Ges.m.b.H. Tanker,Maria Harris,Company Contacts,2
Madhya Pradesh  Market Shoal GmbH Shipping,Hunter Ramirez,Beneficial Owner,2
Madhya Pradesh  Market Shoal GmbH Shipping,Corey Drake,Beneficial Owner,2
Madhya Pradesh  Market Shoal GmbH Shipping,Elizabeth Cox,Beneficial Owner,2
Madhya Pradesh  Market Shoal GmbH Shipping,Lisa Bell,Company Contacts,2
Coral del Sur Inc United,Diana Cantu,Beneficial Owner,1
Coral del Sur Inc United,Amber Ray,Beneficial Owner,1
Coral del Sur Inc United,Mary Beck,Beneficial Owner,1
Coral del Sur Inc United,Patrick Chapman,Beneficial Owner,1
Coral del Sur Inc United,Christopher Beltran,Beneficial Owner,1
Coral del Sur Inc United,Rachel Watson,Beneficial Owner,1
Coral del Sur Inc United,Robert Howard,Beneficial Owner,1
Coral del Sur Inc United,Taylor Diaz,Beneficial Owner,1
Coral del Sur Inc United,Susan Gilmore,Beneficial Owner,1
Coral del Sur Inc United,Katherine Vincent,Company Contacts,1
Delhi ers AS Holdings,Nicole Simmons,Company Contacts,1
Gulf of Guinea   Sagl,Michelle Evans,Company Contacts,1
Nile Crocodile  Sailboat Sp Line,Timothy Baker,Company Contacts,1
AquaFresh Foods Tugboat GmbH Delivery,Benjamin Day,Company Contacts,1
"Simmons, Vega and Dennis",Diana Johnson,Company Contacts,1
Mar de Cristalino ОАО,Troy Wagner,Beneficial Owner,1
Mar de Cristalino ОАО,Sandra Ruiz,Company Contacts,1
Mar de Cristal AS,John Sullivan,Beneficial Owner,1
Mar de Cristal AS,Jeffrey Jackson,Beneficial Owner,1
Mar de Cristal AS,Virginia Warren,Beneficial Owner,1
Mar de Cristal AS,Janet Conway,Company Contacts,1
White-White,Donald Williams,Beneficial Owner,1
Burton Inc,Taylor Carter,Company Contacts,1
"Deleon, Wood and Haynes",Luke Cox,Beneficial Owner,1
"Shaffer, Allen and Richards",Thomas Wallace,Company Contacts,1
Winters-Montgomery,Dylan Nguyen,Beneficial Owner,1
Brown PLC,Matthew Fernandez,Beneficial Owner,1
Simmons-King,Christopher Love,Beneficial Owner,1
"Meyer, Dalton and Mendoza",Scott Hall,Beneficial Owner,1
Klein PLC,Joshua Murray,Company Contacts,1
shā yú Ltd Marine,Laurie Adams,Company Contacts,1
Marine Mavericks GmbH & Co. KG Marine ecology,Brandon Li,Beneficial Owner,1
Marine Mavericks GmbH & Co. KG Marine ecology,Kathryn Smith,Company Contacts,1
Arroyo-Diaz,Scott Hart,Beneficial Owner,1
King-Delacruz,Matthew Montgomery,Company Contacts,1
Great Ruaha River  GmbH Solutions,Michael Stephens,Company Contacts,1
Blue Nile  Inc Distribution,William Long,Beneficial Owner,1
Blue Nile  Inc Distribution,Ashley Roach,Beneficial Owner,1
Blue Nile  Inc Distribution,Tina Farmer DVM,Beneficial Owner,1
Blue Nile  Inc Distribution,Cody Cummings,Company Contacts,1
Price-Carey,Christopher Luna,Company Contacts,1
Mar de Plata Sp,Jeffrey Mcclure,Beneficial Owner,1
Mar de Plata Sp,William Holmes,Beneficial Owner,1
Mar de Plata Sp,Sean Pham,Beneficial Owner,1
Mar de Plata Sp,Caitlin Martin,Beneficial Owner,1
Mar de Plata Sp,Robert Roberson,Beneficial Owner,1
Mar de Plata Sp,Jennifer Gallegos,Beneficial Owner,1
Mar de Plata Sp,Hayley Delacruz,Beneficial Owner,1
Mar de Plata Sp,Kyle Adams,Beneficial Owner,1
Mar de Plata Sp,Michael Smith,Beneficial Owner,1
Mar de Plata Sp,Andrea Reeves,Beneficial Owner,1
Mar de Plata Sp,Teresa Case,Beneficial Owner,1
Mar de Plata Sp,Sherri Garner,Company Contacts,1
Baltic Sprat Ltd. Liability Co Port,Samantha Price,Company Contacts,1
Moore-Cruz,John Tanner,Company Contacts,1
Greek Sea Bass Seagrass Sagl Cargo,Kimberly Mitchell,Company Contacts,1
Playa Azul Co Cargo,Haley Miller,Company Contacts,1
"Perkins, Alvarado and Gonzalez",Lynn Webster,Beneficial Owner,1
